date,GOOG,APPL,AMZN,FB,MSFT
2020-01-10,1429.72998,310.329987,1883.160034,218.059998,161.339996
2020-01-13,1439.22998,316.959991,1891.300049,221.910004,163.279999
2020-01-14,1430.880005,312.679993,1869.439941,219.059998,162.130005
2020-01-15,1439.199951,311.339996,1862.02002,221.149994,163.179993
2020-01-16,1451.699951,315.23999,1877.939941,221.770004,166.169998
2020-01-17,1480.390015,318.730011,1864.719971,222.139999,167.100006
2020-01-21,1484.400024,316.570007,1892,221.440002,166.5
2020-01-22,1485.949951,317.700012,1887.459961,221.320007,165.699997
2020-01-23,1486.650024,319.230011,1884.579956,219.759995,166.720001
2020-01-24,1466.709961,318.309998,1861.640015,217.940002,165.039993
2020-01-27,1433.900024,308.950012,1828.339966,214.869995,162.279999
2020-01-28,1452.560059,317.690002,1853.25,217.789993,165.460007
2020-01-29,1458.630005,324.339996,1858,223.229996,168.039993
2020-01-30,1455.839966,323.869995,1870.680054,209.529999,172.779999
2020-01-31,1434.22998,309.51001,2008.719971,201.910004,170.229996
2020-02-03,1485.939941,308.660004,2004.199951,204.190002,174.380005
2020-02-04,1447.069946,318.850006,2049.669922,209.830002,180.119995
2020-02-05,1448.22998,321.450012,2039.869995,210.110001,179.899994
2020-02-06,1476.22998,325.209991,2050.22998,210.850006,183.630005
2020-02-07,1479.22998,320.029999,2079.280029,212.330002,183.889999
2020-02-10,1508.680054,321.549988,2133.909912,213.059998,188.699997
2020-02-11,1508.790039,319.609985,2150.800049,207.190002,184.440002
2020-02-12,1518.27002,327.200012,2160,210.759995,184.710007
2020-02-13,1514.660034,324.869995,2149.870117,213.139999,183.710007
2020-02-14,1520.73999,324.950012,2134.870117,214.179993,185.350006
2020-02-18,1519.670044,319,2155.669922,217.800003,187.229996
2020-02-19,1526.689941,323.619995,2170.219971,217.490005,187.279999
2020-02-20,1518.150024,320.299988,2153.100098,214.580002,184.419998
2020-02-21,1485.109985,313.049988,2095.969971,210.179993,178.589996
2020-02-24,1421.589966,298.179993,2009.290039,200.720001,170.889999
2020-02-25,1388.449951,288.079987,1972.73999,196.770004,168.070007
2020-02-26,1393.180054,292.649994,1979.589966,197.199997,170.169998
2020-02-27,1318.089966,273.519989,1884.300049,189.75,158.179993
2020-02-28,1339.329956,273.359985,1883.75,192.470001,162.009995
2020-03-02,1389.109985,298.809998,1953.949951,196.440002,172.789993
2020-03-03,1341.390015,289.320007,1908.98999,185.889999,164.509995
2020-03-04,1386.52002,302.73999,1975.829956,191.759995,170.550003
2020-03-05,1319.040039,292.920013,1924.030029,185.169998,166.270004
2020-03-06,1298.410034,289.029999,1901.089966,181.089996,161.570007
2020-03-09,1215.560059,266.170013,1800.609985,169.5,150.619995
2020-03-10,1280.390015,285.339996,1891.819946,178.190002,160.919998
2020-03-11,1215.410034,275.429993,1820.859985,170.240005,153.630005
2020-03-12,1114.910034,248.229996,1676.609985,154.470001,139.059998
2020-03-13,1219.72998,277.970001,1785,170.279999,158.830002
2020-03-16,1084.329956,242.210007,1689.150024,146.009995,135.419998
2020-03-17,1119.800049,252.860001,1807.839966,149.419998,146.570007
2020-03-18,1096.800049,246.669998,1830,146.960007,140.399994
2020-03-19,1115.290039,244.779999,1880.930054,153.130005,142.710007
2020-03-20,1072.319946,229.240005,1846.089966,149.729996,137.350006
2020-03-23,1056.619995,224.369995,1902.829956,148.100006,135.979996
2020-03-24,1134.459961,246.880005,1940.099976,160.979996,148.339996
2020-03-25,1102.48999,245.520004,1885.839966,156.210007,146.919998
2020-03-26,1161.75,258.440002,1955.48999,163.339996,156.110001
2020-03-27,1110.709961,247.740005,1900.099976,156.789993,149.699997
2020-03-30,1146.819946,254.809998,1963.949951,165.949997,160.229996
2020-03-31,1162.810059,254.289993,1949.719971,166.800003,157.710007
2020-04-01,1105.619995,240.910004,1907.699951,159.600006,152.110001
2020-04-02,1120.839966,244.929993,1918.829956,158.190002,155.259995
2020-04-03,1097.880005,241.410004,1906.589966,154.179993,153.830002
2020-04-06,1186.920044,262.470001,1997.589966,165.550003,165.270004
2020-04-07,1186.51001,259.429993,2011.599976,168.830002,163.490005
2020-04-08,1210.280029,266.070007,2043,174.279999,165.130005
2020-04-09,1211.449951,267.98999,2042.76001,175.190002,165.139999
2020-04-13,1217.560059,273.25,2168.870117,174.789993,165.509995
2020-04-14,1269.22998,287.049988,2283.320068,178.169998,173.699997
2020-04-15,1262.469971,284.429993,2307.679932,176.970001,171.880005
2020-04-16,1263.469971,286.690002,2408.189941,176.25,177.039993
2020-04-17,1283.25,282.799988,2375,179.240005,178.600006
2020-04-20,1266.609985,276.929993,2393.610107,178.240005,175.059998
2020-04-21,1216.339966,268.369995,2328.120117,170.800003,167.820007
2020-04-22,1263.209961,276.100006,2363.48999,182.279999,173.520004
2020-04-23,1276.310059,275.029999,2399.449951,185.130005,171.419998
2020-04-24,1279.310059,282.970001,2410.219971,190.070007,174.550003
